rank,hotspot address,packet count,name,owner,lat,lng,location,reward scale,city,country
21,1124dMWjC4nzCaL9JDhJ6TYRpGhqpQyYd67rXSSPKPy6prsbW8as,280655,quaint-currant-lion,13g9XtVkKrbnJzKTqwCmuSedPHdtN1KjeVE8AoD7yQZvfJCeGab,25.043607143162696,-77.30116449127259,8c44b56aa6c6bff,1.0,Nassau,The Bahamas
22,1122wABqTP6mggk9h3DKooUf2oWrUyo1r1LqWJfgnGgArsRzNYNY,274385,bald-crimson-rooster,14rHyhKPF96hBgpffUKwDAG2vwZ9GjKZZfcprfT6gvG5iz7AnhT,24.946355171313677,121.01612526706158,8c4ba08e202b3ff,1.0,Xinwu District,Taiwan
23,112AtpCpp8gHvwmKZjVPmjwAVQmVw3JVruJzCmd3VvPUHLbBiGcj,237142,thankful-latte-boar,14NZZcvUQdQWzfzXS2udaAdksheeC3Skg8xqrQ7F4SgzdG7nGoh,24.77966966215504,121.0730666264136,8c4ba01090859ff,1.0,Qionglin,Taiwan
24,11r1gM5GSdYGbPwePG2e8EPT7VaM3JbUT15hAh9wPVustRAtATf,232314,muscular-pewter-whale,13DvKHmreqn3jcC22d4TUiE6G4znqbMS2dZMBv1wU4H9r1GzuSf,50.581915460215775,8.663748858793758,8c1fac4700aa9ff,0.7102203369140625,Gießen,Germany
25,11dmc1DtPymWG4BdS8bbRt9XmVQ5unpwAXcsHVeHBiaTJWrKdWz,194698,jovial-taffy-condor,14UQLGUxW2z5hEq54H76vLvPwougAkN22Ty65jD2EQvnCBjad74,44.818315742145174,20.424178016012366,8c1e1b28e2eb3ff,0.1856689453125,Beograd,Serbia
26,11isHGTRYqzm3pq4vduqpZetpR5UqGhGZPSY7wkm5F3X3gmaixM,182169,acidic-wintergreen-lion,14ASBNhV7iCjUA1SXcqMeRPp36EphqGUFuzJZMBWtgVtz9S2R2N,55.764701176594116,13.026717182469246,8c1f2e49888bdff,1.0,Kävlinge V,Sweden
27,112iudqrm7cqqQ5AiaKXyrQsgHaqoMahi9TN89X2eQd3WdJ6HR2K,180328,dizzy-goldenrod-seal,12zd5Shc8NgG6xPaXf8bPhX9RHEyeQSbG7U3z2R1AEy3a3cPKc1,59.40458041309244,17.942377097059868,8c088662dac51ff,0.2903594970703125,Kista,Sweden
28,11S5c6nh5De9TbDrzHU1apnNXjBgPe4hWUN4ynJbQ9m6dh6fQqG,162831,fierce-licorice-sparrow,14oRdooQuJfv25PWoxeB571esYNNTf596zyTYRGb1z6yrKAHvVJ,44.84528216071073,20.40744369010955,8c1e1b28cdb35ff,0.584869384765625,Beograd,Serbia
29,11DQNariGWgHG1227na4sPyVwjDTy8dUL2T8hhAcvHLS1DmPvaL,160448,gentle-tiger-mouse,14oy9rPWUsL31w1aesjmr9oeCa2SJhvb1Aziau1Z217FkJDbQsg,37.977184251188476,23.727586544488574,8c1eda74338b9ff,0.42828369140625,Athina,Greece
30,11cUjZgWcWTjGvTDnEkrH6kN55ipEYL78jLUNTVwB4wqX33gMUU,145926,savory-latte-mockingbird,131hzZABRwL1YLfVzy6hKSzJMg6Lp7FpXrekYAcFH2RrabT9Maq,50.59763574508271,8.74975740167171,8c1fac445d067ff,1.0,Gießen,Germany
31,112anvw3CzPzvdtCpL7w4znac2Thzszbc6mLY4ZF723QQBfMCAzy,141968,hollow-rainbow-huskie,14cdUgexYXcmLWGkTXDKL84VgMbyJs7pphbGx12EA9Ha4rW1MtR,37.96635804282306,23.751221136025336,8c1eda74ad23bff,0.6687469482421875,Athina,Greece
32,114NVXi9eoiq9XYn4vHt1GSsK56qyQ8faGHbwaFji5UiphevvDm,131609,icy-raspberry-iguana,14rUuq5jWkxuK1ojsLGVhNNgZqwZyymN826zPTJd4MUMtLWfKWE,44.844384074253746,20.384897531991115,8c1e1b281c53bff,0.1115570068359375,Beograd,Serbia
33,11fHXNPuyQsNvH3T3P5rkHeXeBNbeNBoHPRPVMoSxZte9WSSofX,131515,exotic-alabaster-pangolin,14MQuYZp1s2ys4bnpQS3g5UtwyWCWW1EuHcxoGApRPe7JXx7h9D,50.58209004645742,8.683981496946858,8c1fac4715a0dff,0.78125,Gießen,Germany
34,11ZDvfZFRDbWhZN1A6cUwsmJpZJG5QjpmfWFSsZ2sJPq51sPxeD,130215,oblong-berry-flamingo,137Cfu4mYX9h1tArkyr2pAtdac13jQepesancUHt5Nb9yBSrEMY,44.81979464862451,20.45607218677273,8c1e1b2882503ff,0.584869384765625,Beograd,Serbia
35,11LHDCb5MzTj23g1ZYWpyXqDNdezPxJpH1zBRydd1idmfwBJdTR,127979,sparkly-quartz-beetle,13goSpAQR7M21P5tYAsHALwGJfkCjtaVS4LpmtYvKFnSi7W61WR,37.90541545023198,112.15991231059164,8c31909b089c1ff,1.0,Taiyuan Shi,China
36,11Kij5E66RX5g4N46L8YNi1tncYvfW1Lso1VmKazs6TW3oZ3U9K,124959,acidic-wintergreen-lynx,13goSpAQR7M21P5tYAsHALwGJfkCjtaVS4LpmtYvKFnSi7W61WR,37.89843914193946,112.15939528257512,8c31909b0549bff,1.0,Taiyuan Shi,China
37,11EtPrSQQiVrxTYNtNDNn7QeopiM38dm8JHXDhsra9sWJkYR2qj,113420,zesty-amber-butterfly,14cDviFwkPPN1QXHPaBoqS8xw8H5XX2ma7fV4wgsBEbNgjCmsPk,44.84308647704155,20.41464904938988,8c1e1b28ccf1dff,0.584869384765625,Beograd,Serbia
38,115NXYTksk5BkTUvHR3Yn2X5aVGXnLjMgk3hEnae19rqYiGYxgr,106225,funny-walnut-leopard,14shyyaY86qG23UuyYSqc4rC3GL3J7oYQfXyVoFYvXatyffyvsA,37.96491745054728,23.626546770678257,8c1eda75636e9ff,0.814208984375,Keratsini,Greece
