rank,hotspot address,number of packets
60,112iayRrgpvyds9gLXfCbL4YdKnSvxzzJJnnUYY9FuFuUkK8ymaw,8343
61,148xnwUSxb6KW22LubTAywtt5PXMLyWWYvd1iYFuyiwhmHZXtL6,8273
62,112Wixc6u2NUQe2cCJFU7U26pmquHFeBSZ8yjqFY8nqd25nsRSLQ,8264
63,112PNmMQEtDGBtZ4YWbKauEHN3eugsCRr4BX5k6Pca7HyzRWKYqd,8145
64,11Q63euUamcdq6gf6XPKtEHSYH9GRYjxGopreC1QCq4YZoV3k3F,8028
65,112VmWTqB16gRV3YWNaykTiUAxJjLcSg9x2twwWNG9zhPEsiMJ5D,8025
66,11wZ9cTkuMJP3JC2KDM3D6fW8nfRtV4WbCLDFm1CpqRZyfuuyeZ,7836
67,112kKj4TEuENuhsLi1AZ2XtXuR3eRKrt9aAN9Agkvhm3fCETSdVp,7797
68,11gZWffHvVVpoAJrBNp53s5LCCtwv4eJReS8ZGmYGS2Y8zSXvLm,7787
69,119ADwvcPRGRcw7PEaAr8R47gtBspYDUccb5VrvwRoLRFg1rFHt,7756
70,11X95KTF7GrnDTcE4nHPnmvwoZq2ydWpYFSRytTadLKz7h3BZqL,7678
71,112QCmnGmw3iTBdWE4gkxJkfKJhg5UGQ9obhMqeBXs7xkUxgU7jN,7643
72,11rf32q66vjGQcTGT8LsZAgRAxPo1gMhVVf3CpQyNMx7FD6iQG9,7552
73,11Tz179GMNmCxxZfBMADnJhiouiYHKeaWv8TXbBhroeYZSXEEyP,7379
74,112fqkyDErc9xdJB8MYWfU7BwxUGGWgQwpQCifLkkNP6apiLC1Xd,7343
75,11ZDvfZFRDbWhZN1A6cUwsmJpZJG5QjpmfWFSsZ2sJPq51sPxeD,7343
76,11212BimM4WQytWK7PiVecDv1mhJAj3cGCF61ojfY77KR88JRFXP,7268
77,11rgvsar4ptHQEzhZcJ7fSWpT6NqMX69J1i5JTYWRyhihXnM9ko,7263
78,112SYCDJkCVrbAdMuqBNWV9Ltrjx5Ztk3RTXn6EmjrQGpShrnV3H,7241
79,11Y8GAwzABtNmwsVgnUkuJG92EE4zFqfrMi2JiqE4qsrnQJQj3e,7213
80,112X8US7son5SuAgTo3SsZwFUb3ibJzS9RZXVucRQyK4KZ1McXgz,7212
81,112ghFMBNDu1GVRXMTYr3gGrS5hJ5MJwa8SE5usgxUpm5GuyUxLy,7206
82,11VSF76H2hTp8NqmAWGjP5oQjadyeFgWxLp8fY62LMfUctt48k,7063
83,116dtEWf1qRL2PFGXPaKTbLTgJvAqGbUR4QTcXFYXdiZxxPfne1,6873
84,11CXKN6W29b81c3s5AucBcd2Ha7RS9ja3tUebyJWEpRjdfCqvmD,6841
85,112noKWQJuc9uRZuF6LRVKRm5SfSQNXTK6njEAkvbfcEgbG6sEsk,6802
86,11SDXBKeCdwZY2dXTrcyYAd9CgcX9qHmoJdsSneDgjzLVj2844M,6635
87,112n6RGNtUYR1gVrSr8grbNeqiVBxXxFBED2PT8ah2SYSeNQbT2n,6634
88,11fHXNPuyQsNvH3T3P5rkHeXeBNbeNBoHPRPVMoSxZte9WSSofX,6567
89,11iN1rf6GubeLYibuPGfCfL7iJqaQCeWq69Z6rnMkYbebjRoNHn,6408
90,11Kh6zbR5KwevXFnMiE8Ma5GekrHgceBmFZk9cS3HAbkzuxBTgV,6402
91,112uANucCBkjuYwNkVganQRXgPPp9LzBk4iT1n4vRYVd5bdM8zdq,6401
92,117EtDfZaVbaK23LEQBewvjGgwgUi8P3fyb4y3gXeXNb2hGgSdd,6377
93,117xjj9bshZcDZpToktNDrmyeFcq1Xz2AqsvX2XJqNQGZyDuUAk,6368
94,11bk6ueG22MwufTaN4NhV4JrcH9zQHpbDnD2seeF4UFCRKxCh64,6324
95,11EtPrSQQiVrxTYNtNDNn7QeopiM38dm8JHXDhsra9sWJkYR2qj,6307
96,11U2spJ3acFTnggPefVnRf3Sw25P9vsHa9qYz8Jc4zPo7YL3YD,6223
97,11yFxRerYso8gzYX9znfq31KAaXNK3zv1rbySSaDcRNNd6yCtVR,6203
98,14phK9g3FubYfEwGGUDExfdYQSfYyGJa2G5NP3aYsaGcKFsFPiE,6198
99,112iZaZu4bnt2ineV8xuB8EUzGhsNvNynEL9VbJSTgSpYsSX9fVs,6183
100,112d1sou2xYZsMXEf1f8mX6vMksxDWcqt8bwwApieAt4SaU1gjCR,6069
101,1129B8291VaQe3edLLyVzqc3tQjb7bih5Suv1sWkc9wBp6MrwW29,6068
102,11fTs1fU7aHJbHEQik6H45c1UYvY7gKFSgT5kmXpVZCZQriTBmN,5919
103,11agShpFWjiC9PANs4k6KRKMsb27u5BfXcaz1z9mRhnLdyhxyTA,5895
104,11bGhphJsp2TLpNh3SQPRbkz6N1yU8oA1XERUxr3AugTmNHD6ak,5876
105,112orA8SRFD5AyH6izqGctChWPBoGaSTbuJnrL9Yt3UoejhCkybT,5833
106,11Ew4D6RKkWDsfamctK3YqgkeEPNjJTkwDeR8tPVWE9BpXCTP1X,5741
107,112QsizdHY9oqernq72v6B9xmqesSJn48deWV1iNvsSXX5PLRFGV,5732
108,11CVBitVLRiG1ARyvTUek9tN5MCusa7DeUoPtejbuhd7LKakw9M,5716
109,11JUmGkyKHgaRYJnM17YuSJhdM5ABHTdfKYUvEPT1xU9SQQ6MYa,5661
110,112eMTvvxjz5EztDkJ56N1UvazNBR6NvWEMxAJkFoDVsi8nGvzHz,5641
111,113QHuXLHivxka7Z2TmgYvgNMy8P7j3WmTLc5p6m2A1a2wDKpmM,5528
112,112j3mnY3vuoECdB7SNFTv4SkSu54GcBBsoLX7obc7Svt5mpjDGe,5439
113,11cMPdUMat5mqeUG7aSQuRXYFXQsWyuvGpXbpHCYFvKx5GGJpV9,5437
114,112ZECiQMKYjKqqXYhs1ALP8p1cSv7KSFytPUNmtF1cdZB7BkxVh,5410
115,112gjZbhBLNjcbX4M8NgUJvAA9wVxLRH9KLmagUdkSocEhKpHNoE,5402
116,11ScgEsjovcRxTS9KGbLtBn66G2RhGYgRnAVAm145NDwBupGVgE,5379
117,112tybRBLSWa6NnUHjbsF5JgfogwXjzkWwESLXs94q2cDJZiLndX,5336
118,112cFiTRcRx92J7xUMpmd3L5u2ugbi9hpUdd29vqTTihp65gY7Qc,5333
119,11Wjpgh4ZvuLhhD78gRiJVgi4yzPTmFXK9uatq3kgw6cLzXhs1Q,5270
120,11bMpbUy1kqZ7xXaDZHoxbEqSU6azJeS4f63fMhoZ5qYYtxxsMJ,5242
121,112MVsMd3YfDP88tFQiAFEdLAFe33jv82Ash543nyeGMFGQor34Y,5236
122,112WskmSNVuFdCptYtFRAnBrA5aytQutWasPzf5rh4LEpnQ9idx9,5221
123,11nkLzFAYnd1RbVEQGdZe42eTHUDkEixUsHHkypaax6pCD2E1hx,5192
124,112rchiiDKQcpGNWyULzSHnf9Tq2oakxvj1JXYL45D6caxZbxCks,5170
125,11225o5JtfrV4soroTBAhgUdtetiAueCRgY579RrjFFBT4MEpQ9o,5166
126,1124vNj6r1RG6GxzLr2DVe17gQECh62MPvyYzFNhu9iLJ9EASQY7,5165
127,11guzTryHX4Bdv4C3KPGppY8XP3B1w6BdVsRYHyU8beMmPwq28W,5156
128,112p2CSB332ceQAt8Rd65jeYKYXHgSZj9jRSGA5t9ev1Be55grv7,5062
129,11a2F93k2y4V1VFTG8TkZBzQCoHvKMjkG4xtS5vgDYSnKZCEBid,5007
130,11m1iQG5MnXgWj1Cd4BeqgdGLTcpLsYAPL1MPuDbkbLpNZM9Nje,4993
131,11rdX9CqFS79ASbh5A8VTy1cvdeiKitiLKMtptgxy5Vmqw4tDLZ,4939
132,11CvCAnjUZfMuHohQSKECRRjTW8pikpeKj52tFh5tSkNyoAnnCc,4937
133,11JL2th57hAi7tWE9Cj5hcJ4PC4tmuHMGnwRsKERm695aDNtWdc,4929
134,11Uye24EKEcJm9tyWBNQhZtwqW9SUug2Y1vbx731GEopJtWXohL,4913
135,112meYeE2M6imHAcfwkt52ExtCgYpdnXttQTodRrg3QN3eo3GQub,4806
136,11DfwrUiF9vD14erreyETbrnQguT9rVhHnkGi8FCzf3TmGwjW1z,4796
137,112hgucmW9DCo5Se9kswFnULhN7Tn4gReko4EcuD2nViHNSAXvk,4793
138,11LEgN3wBVNfM5q9bt2qxebKDerzBiV6RUkWLZ52VeyV3DVYaW9,4789
139,112mUVesqujfPVyoVGQhN9xT3mduKtmgwGGiH4ZH5VQAGeYcE2m1,4746
140,112LspAGTQwhnmv64f46HJmkhGRQXnpENNvd8hH9ek8whKuNmgjq,4686
141,11x2mZ7grFQQ49eJKzvAo2bVPZwXATDzmYsNPx4XJz97GXX44Nr,4672
